"id","Value"
"1","キレ"
"2","辛口"
"3","シャープ"
"4","飲み口"
"5","強い"
"6","苦味"
"7","甘味"
"8","淡麗辛口"
"9","喉越し"
"10","良さ"
"11","クリア"
"12","後味"
"13","特徴"
"14","すっきり"
"15","イヤ"
"16","余韻"
"17","非常に"
"18","爽快感"
"19","何杯"
"20","声"
"21","コク"
"22","控えめ"
"23","深い"
"24","軽快さ"
"25","重視"
"26","味わい"
"27","旨味"
"28","印象"
"29","クセ"
"30","食事"
"31","邪魔"
"32","飲みやすい"
"33","定番"
"34","ビール"
"35","特有"
"36","強すぎず"
"37","軽やか"
"38","ゴクゴク"
"39","安定"
"40","一本"
"41","初心者"
"42","ベテラン"
"43","とにかく"
"44","評判"
"45","油っこい"
"46","料理"
"47","相性"
"48","抜群"
"49","引き立てる"
"50","支持"
"51","様々"
"52","お供"
"53","泡立ち"
"54","楽しさ"
"55","缶"
"56","細かい"
"57","泡"
"58","自動的"
"59","生ビール"
"60","体験"
"61","驚き"
"62","瞬間"
"63","溢れる"
"64","居酒屋"
"65","気分"
"66","感想"
"67","多数"
"68","臨場感"
"69","たっぷり"
"70","フルオープン"
"71","蓋"
"72","香り"
"73","広がり"
"74","ジョッキ"
"75","好評"
"76","自宅"
"77","手軽"
"78","生"
"79","雰囲気"
"80","魅力"
"81","話題性"
"82","発売直後"
"83","SNS"
"84","大きな"
"85","話題"
"86","初めて"
"87","ユニーク"
"88","友人"
"89","話"
"90","ネタ"
"91","投稿映え"
"92","商品"
"93","注目"
"94","飲みやすさ"
"95","中身"
"96","スーパードライ"
"97","ベース"
"98","味"
"99","爽快"
"100","健在"
"101","まろやか"
"102","注意点"
"103","冷やし"
"104","状態"
"105","体験談"
"106","少なく"
"107","適切"
"108","問題"
"109","おいしい"
"110","評価"
"111","大半"
"112","低アルコール"
"113","翌日"
"114","アルコール度数"
"115","ライト"
"116","酔いすぎず"
"117","毎晩"
"118","負担"
"119","軽い"
"120","通常"
"121","水っぽい"
"122","軽快"
"123","あっさり"
"124","さっぱり"
"125","風呂上がり"
"126","週末"
"127","昼飲み"
"128","最適"
"129","軽さ"
"130","スーパードライらしい"
"131","しっかり"
"132","ドライらしさ"
"133","弱め"
"134","非常"
"135","物足りなさ"
"136","一方"
"137","ちょっと"
"138","薄い"
"139","足りない"
"140","人"
"141","普段"
"142","層"
"143","少々"
"144","物足りない"
"145","意見"
"146","総じて"
"147","雑味"
"148","爽やか"
"149","際立つ"
"150","暑い"
"151","夏"
"152","苦手"
"153","受け入れられやすい"
"154","ライトテイスト"
"155","口当たり"
"156","シルク"
"157","滑らか"
"158","まろやかさ"
"159","特長"
"160","高評価"
"161","麦"
"162","甘み"
"163","優しい"
"164","懐かしい"
"165","復刻商品"
"166","昔"
"167","父"
"168","レトロ"
"169","お洒落"
"170","缶デザイン"
"171","昭和"
"172","旨み"
"173","抑えめ"
"174","心"
"175","体"
"176","癒やされる"
"177","コメント"
"178","スッキリ"
"179","“危険なビール”"
"180","冗談"
"181","反面"
"182","苦味好き"
"183","苦く"
"184","和洋中"
"185","マイルド"
"186","家飲み"
"187","晩酌"
"188","ファン"
"189","主張"
"190","穏やか"
"191","風味"
"192","食中酒"
"193","重宝"
"194","黒ビール"
"195","驚くほど"
"196","クリーミー"
"197","心地よい"
"198","するすると"
"199","喉"
"200","感じ"
"201","ひかえめ"
"202","ロースト香"
"203","ほろ苦さ"
"204","引き立つ"
"205","黒麦芽"
"206","由来"
"207","贅沢"
"208","コーヒー"
"209","ビターチョコ"
"210","思わせる"
"211","コク深さ"
"212","満足感"
"213","贅沢感"
"214","パッケージ"
"215","高級感"
"216","濃厚"
"217","ちょっとした"
"218","ゆっくり"
"219","味わいたい"
"220","大人"
"221","イメージ"
"222","入門"
"223","全体的"
"224","おすすめ"
"225","少ない"
"226","幅広い"
"227","好まれる"
"228","香ばしい"
"229","マルエフ"
"230","黒生"
"231","ブレンド"
"232","香ばしさ"
"233","ほのか"
"234","黒"
"235","優しさ"
"236","絶妙"
"237","バランス"
"238","深み"
"239","角"
"240","飲み心地"
"241","ハーフ＆ハーフ"
"242","個性"
"243","合わさり"
"244","意外"
"245","限定感"
"246","九州"
"247","限定発売"
"248","レア感"
"249","ビール通"
"250","裏メニュー"
"251","点"
"252","面白い"
"253","好み"
"254","分かれる"
"255","独特"
"256","好き嫌い"
"257","愛好家"
"258","冬向き"
"259","派"
"260","普通"
"261","ホップ"
"262","うまみ"
"263","苦さ"
"264","好き"
"265","飲み疲れ"
"266","柑橘系"
"267","飲み手"
"268","柑橘っぽい"
"269","華やか"
"270","隠し味"
"271","全体"
"272","隙"
"273","仕上がり"
"274","きめ細か"
"275","プレミアム感"
"276","美点"
"277","価格"
"278","コスパ"
"279","口コミ"
"280","日常的"
"281","新"
"282","スタンダードビール"
"283","期待"
"284","新ジャンル"
"285","麦芽量"
"286","プレミアム"
"287","モルト"
"288","マスカット"
"289","クオリティ"
"290","クリアアサヒ系"
"291","ビール党"
"292","キレ味"
"293","飲みごたえ"
"294","生ジョッキ缶"
"295","きめ細かい"
"296","缶ビール"
"297","リッチ感"
"298","お値段"
"299","満足度"
"300","ご褒美"
"301","高い"
"302","豊か"
"303","強め"
