"id","Name"
"1","アサヒスーパードライ"
"2","アサヒスーパードライ 生ジョッキ缶"
"3","アサヒスーパードライ ドライクリスタル"
"4","アサヒ生ビール（通称マルエフ）"
"5","アサヒ生ビール 黒生"
"6","アサヒ生ビール ワンサード"
"7","アサヒ ザ・ビタリスト"
"8","アサヒ 食彩（生ジョッキ缶プレミアム）"
"9","アサヒプレミアム生ビール 熟撰"
"10","アサヒスタウト"
"11","アサヒオリオン ザ・ドラフト"
"12","アサヒ オリオン 75BEER ホワイトエール"
"13","ピルスナーウルケル"
"14","ペローニ ナストロアズーロ"
"15","グロールシュ プレミアム ラガー"
"16","アサヒスタイルフリー〈生〉"
"17","アサヒスタイルフリー〈生〉 生ジョッキ缶"
"18","スタイルフリー パーフェクト"
"19","アサヒオフ"
"20","アサヒ レッドアイ"
"21","クリアアサヒ ジョッキ缶（CP）"
"22","クリアアサヒ"
"23","アサヒ ザ・リッチ"
"24","クリアアサヒ 贅沢ゼロ"
